name,cuisine,overall_rating,locality,address,suburb,latitude,longitude,average_for_one,feature
Tutto,"Juices, Beverages, Desserts, Frozen Yogurt",4.1,Carlton,"81 Grattan Street, Carlton, Melbourne",Carlton,-37.80081996,144.9666424,$12.50 ,Desserts
The Souffle,Desserts,2.8,CBD,"365 Little Lonsdale Street, CBD, Melbourne",CBD,-37.81159495,144.9612653,$17.50 ,Desserts
Afternoon Tea At The Windsor,Desserts,4.1,Hotel Windsor,"Hotel Windsor, 111 Spring Street, CBD, Melbourne",Hotel Windsor,-37.8121247,144.9731411,$70.00 ,Desserts
Choix Creperie Café,"French, Cafe Food, Crepes, Desserts, Coffee and Tea",4.1,CBD,"620 Collins Street, CBD, Melbourne",CBD,-37.81874897,144.9545638,$20.00 ,Desserts
May Yu Dessert,Desserts,4,CBD,"11 Rose Lane, CBD, Melbourne",CBD,-37.81572058,144.9541232,$25.00 ,Desserts
Hokkaido Baked Cheese Tart - QV,"Bakery, Desserts",4.1,"QV Centre, CBD","QV Centre, Level 2, 22 Red Cape Lane, CBD, Melbourne","QV Centre, CBD",-37.81066919,144.9651297,$5.00 ,Desserts
Rainbow Toastie,"Desserts, Korean, Cafe Food",3.2,CBD,"18 Sutherland Street, CBD, Melbourne",CBD,-37.81123471,144.9609062,$15.00 ,Desserts
Egg Station,"Bubble Tea, Cafe Food, Desserts, Ice Cream",4.1,South Yarra,"175 Toorak Road, South Yarra, Melbourne",South Yarra,-37.83906701,144.9927175,$15.00 ,Desserts
Casa Del Gelato,"Desserts, Ice Cream",4.2,Carlton,"163 Lygon Street, Carlton, Melbourne",Carlton,-37.80187088,144.9665767,$7.50 ,Desserts
Little Cupcakes,"Desserts, Coffee and Tea",4.1,Goldsborough Lane,"TG 06, Goldsborough Lane, CBD, Melbourne",Goldsborough Lane,-37.81502478,144.957298,$12.50 ,Desserts
Ben & Jerry's,"Desserts, Ice Cream",3.9,CBD,"55 Swanston Street, CBD, Melbourne",CBD,-37.81651226,144.9667802,$7.50 ,Desserts
Little Cupcakes,"Desserts, Coffee and Tea",4.1,CBD,"Shop 4, 118 Queen Street, CBD, Melbourne",CBD,-37.81574045,144.9611691,$12.50 ,Desserts
Adozen Adozen,"Bakery, Desserts, Japanese",3.9,Carlton,"188 Queensberry Street, Carlton, Melbourne",Carlton,-37.80436156,144.9626563,$10.00 ,Desserts
Uncle Tetsu,"Bakery, Desserts",4,"Melbourne Central, CBD","Melbourne Central, Lower Ground, Corner of Swanston Street and La Trobe Street, CBD","Melbourne Central, CBD",-37.81030498,144.9628582,$10.00 ,Desserts
7 Apples Gelato,"Desserts, Ice Cream",4,Emporium Melbourne,"Emporium Melbourne, Level 3, 287 Lonsdale Street, CBD, Melbourne",Emporium Melbourne,-37.81229529,144.9641979,$7.50 ,Desserts
Axil Coffee Roasters,"Coffee and Tea, Desserts",3.9,CBD,"76 Flinders Lane, CBD, Melbourne",CBD,-37.81510583,144.9715911,$7.50 ,Desserts
Damon Bradley,"Desserts, Coffee and Tea, Cafe Food",3.4,"Southgate, Southbank","Southgate, Middle Level, 3 Southgate Avenue, Southbank, Melbourne","Southgate, Southbank",-37.82036376,144.9661707,$25.00 ,Desserts
Sensory Lab - Bourke Street,"Coffee and Tea, Sandwich, Desserts",3.4,CBD,"David Jones, Level 1, 310 Bourke Street, CBD, Melbourne",CBD,-37.81339822,144.9644994,$15.00 ,Desserts
The Little Royal,Desserts,4,CBD,"Royal Arcade, 335 Bourke Street, CBD, Melbourne",CBD,-37.81460735,144.9641322,$7.50 ,Desserts
Sofi's Lounge,"Desserts, Coffee and Tea",3.6,"Sofitel Melbourne On Collins, CBD","Sofitel Melbourne On Collins, Level 1, 25 Collins Street, CBD, Melbourne","Sofitel Melbourne On Collins, CBD",-37.81425428,144.972948,$50.00 ,Desserts
